combo,results_dir,accuracy,best_model,final_model,error,accuracy_disp
AMO,/home/vpopescu/projects/ASVspoof/results/combo_AMO,0.963492,/home/vpopescu/projects/ASVspoof/results/combo_AMO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AMO/final_model.keras,,0.963492
AN,/home/vpopescu/projects/ASVspoof/results/combo_AN,0.825994,/home/vpopescu/projects/ASVspoof/results/combo_AN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AN/final_model.keras,,0.825994
ANO,/home/vpopescu/projects/ASVspoof/results/combo_ANO,0.801521,/home/vpopescu/projects/ASVspoof/results/combo_ANO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_ANO/final_model.keras,,0.801521
AO,/home/vpopescu/projects/ASVspoof/results/combo_AO,0.811464,/home/vpopescu/projects/ASVspoof/results/combo_AO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_AO/final_model.keras,,0.811464
H,/home/vpopescu/projects/ASVspoof/results/combo_H,0.650298,/home/vpopescu/projects/ASVspoof/results/combo_H/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_H/final_model.keras,,0.650298
HK,/home/vpopescu/projects/ASVspoof/results/combo_HK,0.688496,/home/vpopescu/projects/ASVspoof/results/combo_HK/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_HK/final_model.keras,,0.688496
HKL,/home/vpopescu/projects/ASVspoof/results/combo_HKL,0.700692,/home/vpopescu/projects/ASVspoof/results/combo_HKL/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_HKL/final_model.keras,,0.700692
HKLM,/home/vpopescu/projects/ASVspoof/results/combo_HKLM,0.857712,/home/vpopescu/projects/ASVspoof/results/combo_HKLM/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_HKLM/final_model.keras,,0.857712
HKLMN,/home/vpopescu/projects/ASVspoof/results/combo_HKLMN,0.913863,/home/vpopescu/projects/ASVspoof/results/combo_HKLMN/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_HKLMN/final_model.keras,,0.913863
HKLMNO,/home/vpopescu/projects/ASVspoof/results/combo_HKLMNO,0.95037,/home/vpopescu/projects/ASVspoof/results/combo_HKLMNO/best_model.keras,/home/vpopescu/projects/ASVspoof/results/combo_HKLMNO/final_model.keras,,0.95037
